epoch,accuracy,loss
0,0.09765625,3.36350417137146
1,0.10546875,3.40566349029541
2,0.109375,3.327007293701172
3,0.09765625,3.4332926273345947
4,0.11328125,3.280305862426758
5,0.11328125,3.2440733909606934
6,0.12890625,3.172145366668701
7,0.16015625,2.8864004611968994
8,0.19140625,2.924588203430176
9,0.1796875,2.8153815269470215
10,0.1796875,2.950359344482422
11,0.171875,2.8570733070373535
12,0.234375,2.7724671363830566
13,0.19921875,2.6578640937805176
14,0.2109375,2.8451294898986816
15,0.24609375,2.524125099182129
16,0.25,2.5783448219299316
17,0.234375,2.746232271194458
18,0.25,2.6195309162139893
19,0.2734375,2.4259872436523438
20,0.24609375,2.5619542598724365
21,0.23828125,2.660433053970337
22,0.296875,2.5109009742736816
23,0.3515625,2.1947035789489746
24,0.265625,2.518763780593872
25,0.34375,2.226879358291626
26,0.33203125,2.119263172149658
27,0.2734375,2.398388385772705
28,0.3515625,2.1975514888763428
29,0.3125,2.2649574279785156
30,0.3671875,2.135324478149414
31,0.359375,2.1027960777282715
32,0.32421875,2.34136700630188
33,0.3515625,2.058757781982422
34,0.37890625,1.9512213468551636
35,0.34765625,2.0118510723114014
36,0.453125,1.9103091955184937
37,0.3828125,1.9328367710113525
38,0.40625,1.9183272123336792
39,0.3671875,1.9886395931243896
40,0.38671875,1.9832570552825928
41,0.453125,1.934063196182251
42,0.4453125,1.8486077785491943
43,0.37109375,2.0111522674560547
44,0.390625,2.039238214492798
45,0.4453125,1.7251760959625244
46,0.4296875,2.067959785461426
47,0.46484375,1.617283821105957
48,0.4296875,1.750669240951538
49,0.41796875,1.7802332639694214
50,0.41796875,1.7773776054382324
51,0.43359375,1.8308736085891724
52,0.51953125,1.5713984966278076
53,0.43359375,1.7948849201202393
54,0.49609375,1.641683578491211
55,0.47265625,1.701224446296692
56,0.50390625,1.6111851930618286
57,0.46875,1.703235149383545
58,0.50390625,1.5235803127288818
59,0.51171875,1.534515619277954
60,0.5078125,1.5083844661712646
61,0.5078125,1.666003704071045
